"Interval start","Graph 1","Graph 2","Graph 3"
"0.000","0","0","0"
"1.000","0","688","688"
"2.000","0","5616","5616"
"3.000","0","2184","2184"
"4.000","0","355088","355088"
"5.000","0","853392","853392"
"6.000","0","947888","947888"
"7.000","0","948928","948928"
"8.000","0","911552","911552"
"9.000","0","678272","678272"
"10.000","0","617712","617712"
"11.000","0","472368","472368"
"12.000","0","496592","496592"
"13.000","0","532928","532928"
"14.000","0","532928","532928"
"15.000","0","629824","629824"
"16.000","0","629824","629824"
"17.000","0","593488","593488"
"18.000","0","508704","508704"
"19.000","0","363360","363360"
"20.000","0","375472","375472"
"21.000","0","278576","278576"
"22.000","0","375472","375472"
"23.000","0","399696","399696"
"24.000","0","399696","399696"
"25.000","0","327024","327024"
"26.000","0","387584","387584"
"27.000","0","327024","327024"
"28.000","0","387584","387584"
"29.000","0","436032","436032"
"30.000","0","363360","363360"
"31.000","0","351248","351248"
"32.000","0","302800","302800"
"33.000","0","314912","314912"
"34.000","0","327024","327024"
"35.000","0","351248","351248"
"36.000","0","436032","436032"
"37.000","0","666160","666160"
"38.000","0","896288","896288"
"39.000","0","843200","843200"
"40.000","0","954928","954928"
"41.000","0","798432","798432"
"42.000","0","550528","550528"
"43.000","0","605600","605600"
"44.000","0","654048","654048"
"45.000","0","641936","641936"
"46.000","0","508704","508704"
"47.000","0","472368","472368"
"48.000","0","436032","436032"
"49.000","0","508704","508704"
"50.000","0","484480","484480"
"51.000","0","496592","496592"
"52.000","0","472368","472368"
"53.000","0","508704","508704"
"54.000","0","581376","581376"
"55.000","0","605600","605600"
"56.000","0","581376","581376"
"57.000","0","460256","460256"
"58.000","0","557152","557152"
"59.000","0","460256","460256"
"60.000","0","484480","484480"
"61.000","317728","497904","815632"
"62.000","399696","423920","823616"
"63.000","314912","460256","775168"
"64.000","242240","520816","763056"
"65.000","266464","532928","799392"
"66.000","254352","472368","726720"
"67.000","254352","411808","666160"
"68.000","266464","520816","787280"
"69.000","314912","532928","847840"
"70.000","339136","448144","787280"
"71.000","278576","520816","799392"
"72.000","254352","545040","799392"
"73.000","266464","436032","702496"
"74.000","266464","472368","738832"
"75.000","266464","520816","787280"
"76.000","266464","545040","811504"
"77.000","266464","387584","654048"
"78.000","266464","436032","702496"
"79.000","266464","496592","763056"
"80.000","266464","460256","726720"
"81.000","266464","472368","738832"
"82.000","278576","545040","823616"
"83.000","242240","460256","702496"
"84.000","266464","423920","690384"
"85.000","266464","545040","811504"
"86.000","593488","557152","1150640"
"87.000","266464","557152","823616"
"88.000","278576","423920","702496"
"89.000","254352","545040","799392"
"90.000","278576","581376","859952"
"91.000","266464","581376","847840"
"92.000","266464","629824","896288"
"93.000","266464","617712","884176"
"94.000","266464","569264","835728"
"95.000","278576","460256","738832"
"96.000","266464","484480","750944"
"97.000","266464","423920","690384"
"98.000","266464","484480","750944"
"99.000","278576","411808","690384"
"100.000","266464","508704","775168"
"101.000","278576","520816","799392"
"102.000","266464","423920","690384"
"103.000","278576","400392","678968"
"104.000","269832","351840","621672"
"105.000","267152","375472","642624"
"106.000","278576","327024","605600"
"107.000","266464","339136","605600"
"108.000","278576","254352","532928"
"109.000","266464","290688","557152"
"110.000","266464","302800","569264"
"111.000","278576","351248","629824"
"112.000","266464","448144","714608"
"113.000","278576","666160","944736"
"114.000","254352","654048","908400"
"115.000","278576","508704","787280"
"116.000","266464","60560","327024"
"117.000","278576","48448","327024"
"118.000","266464","24224","290688"
"119.000","266464","36336","302800"
"120.000","266464","48448","314912"
"121.000","278576","278576","557152"
"122.000","266464","423920","690384"
"123.000","278576","436032","714608"
"124.000","266464","472368","738832"
"125.000","266464","593488","859952"
"126.000","278576","690384","968960"
"127.000","266464","641936","908400"
"128.000","278576","726720","1005296"
"129.000","266464","738832","1005296"
"130.000","278576","714608","993184"
"131.000","254352","629824","884176"
"132.000","278576","678272","956848"
"133.000","266464","726720","993184"
"134.000","278576","726720","1005296"
"135.000","266464","726720","993184"
"136.000","278576","218016","496592"
"137.000","242240","48448","290688"
"138.000","266464","661968","928432"
"139.000","278576","690384","968960"
"140.000","266464","690384","956848"
"141.000","278576","666160","944736"
"142.000","266464","605600","872064"
"143.000","278576","629824","908400"
"144.000","266464","557152","823616"
"145.000","266464","557152","823616"
"146.000","266464","593488","859952"
"147.000","278576","593488","872064"
"148.000","266464","641936","908400"
"149.000","278576","690384","968960"
"150.000","266464","224224","490688"
"151.000","278576","0","278576"
"152.000","127056","1184","128240"
