"Interval start","Graph 1","Graph 2"
"0.000","0","0"
"1.000","592","0"
"2.000","4848","0"
"3.000","1864","0"
"4.000","331328","0"
"5.000","702992","0"
"6.000","729856","0"
"7.000","822000","0"
"8.000","830944","0"
"9.000","632432","0"
"10.000","783552","0"
"11.000","843584","0"
"12.000","831472","0"
"13.000","621904","0"
"14.000","619264","0"
"15.000","596096","0"
"16.000","629264","0"
"17.000","641904","0"
"18.000","666128","0"
"19.000","783024","0"
"20.000","797776","0"
"21.000","751968","0"
"22.000","596624","0"
"23.000","432864","0"
"24.000","313856","0"
"25.000","274352","0"
"26.000","273824","0"
"27.000","285936","0"
"28.000","320688","0"
"29.000","391248","0"
"30.000","439696","0"
"31.000","475504","0"
"32.000","558704","0"
"33.000","558176","0"
"34.000","581344","0"
"35.000","617152","0"
"36.000","586096","0"
"37.000","607680","0"
"38.000","500256","0"
"39.000","533424","0"
"40.000","546064","0"
"41.000","569760","0"
"42.000","699296","0"
"43.000","949952","0"
"44.000","1414400","0"
"45.000","1551392","0"
"46.000","954320","0"
"47.000","979936","0"
"48.000","798336","0"
"49.000","881504","0"
"50.000","913616","0"
"51.000","925728","0"
"52.000","855696","0"
"53.000","691936","0"
"54.000","867280","0"
"55.000","786720","0"
"56.000","749856","0"
"57.000","737744","0"
"58.000","645600","0"
"59.000","690880","0"
"60.000","455504","0"
"61.000","431808","0"
"62.000","414944","0"
"63.000","369704","0"
"64.000","450752","0"
"65.000","26344","0"
"66.000","0","0"
"67.000","0","0"
"68.000","0","0"
"69.000","0","0"
"70.000","0","0"
"71.000","0","314696"
"72.000","0","448992"
"73.000","0","366768"
"74.000","0","387584"
"75.000","0","387584"
"76.000","0","302800"
"77.000","0","314912"
"78.000","0","254352"
"79.000","0","218016"
"80.000","0","193792"
"81.000","0","205904"
"82.000","0","242240"
"83.000","0","302800"
"84.000","0","339136"
"85.000","0","423920"
"86.000","0","484480"
"87.000","0","520816"
"88.000","0","545040"
"89.000","0","423920"
"90.000","0","468464"
"91.000","0","327024"
"92.000","0","327024"
"93.000","0","339136"
"94.000","0","436032"
"95.000","0","363360"
"96.000","0","254352"
"97.000","0","254352"
"98.000","0","278576"
"99.000","0","230128"
"100.000","0","193792"
"101.000","0","133232"
"102.000","0","96896"
"103.000","0","157456"
"104.000","0","181680"
"105.000","0","205904"
"106.000","0","157456"
"107.000","0","218016"
"108.000","0","157456"
"109.000","0","205904"
"110.000","0","436032"
"111.000","0","208480"
"112.000","0","314912"
"113.000","0","242240"
"114.000","0","339136"
"115.000","0","218016"
"116.000","0","387584"
"117.000","0","254352"
"118.000","0","290688"
"119.000","0","327024"
"120.000","0","318960"
"121.000","0","133232"
"122.000","0","508704"
"123.000","0","302800"
"124.000","0","230128"
"125.000","0","365808"
"126.000","0","230128"
"127.000","0","266464"
"128.000","0","218016"
"129.000","0","254352"
"130.000","0","205904"
"131.000","0","314912"
"132.000","0","290688"
"133.000","0","242240"
"134.000","0","242240"
"135.000","0","302800"
"136.000","0","448144"
"137.000","0","448144"
"138.000","0","411808"
"139.000","0","496592"
"140.000","0","369712"
"141.000","0","278576"
"142.000","0","617712"
"143.000","0","508704"
"144.000","0","254352"
"145.000","0","464176"
"146.000","0","436032"
"147.000","0","399696"
"148.000","0","436032"
"149.000","0","423920"
"150.000","0","375472"
"151.000","0","339136"
"152.000","0","388720"
"153.000","0","509840"
"154.000","0","77592"
"155.000","0","0"
"156.000","0","0"
